VoiceClip_No,TextTranscript,label,processed_content
Voice184,bullshit talk paid yesterday say payment,Agg,bullshit talk paid yesterday say payment
Voice261,call express utter frustrat disappoint qualiti internet servic despit pay servic time experienc yet anoth interrupt wifi connect second time today internet gone happen five time week alon,Agg,call express utter frustrat disappoint qualiti internet servic despit pay servic time experienc yet anoth interrupt wifi connect second time today internet gone happen five time week alon
Voice166,one respond appropri take action complaint fault,Agg,one respond appropri take action complaint fault
Voice109,disappoint request fiber connect past year even though locat colombo slt could fulfil request,Agg,disappoint request fiber connect past year even though locat colombo slt could fulfil request
Voice123,first half time pick phone call cut phone call,Agg,first half time pick phone call cut phone call
Voice256,made complaint last day still one attend resolv pleas get done soon expect better servic,Agg,made complaint last day still one attend resolv pleas get done soon expect better servic
Voice22,fed unreli servic bill error cancel servic,Agg,fed unreli servic bill error cancel servic
Voice9,poor servic telephon contact technic offic,Agg,poor servic telephon contact technic offic
Voice259,experienc poor custom servic first time slt week report router fault custom care technician call didnt turn complaint close resolv issu,Agg,experienc poor custom servic first time slt week report router fault custom care technician call didnt turn complaint close resolv issu
Voice198,bad bad custom servic contact agent even tho say hour custom servic disappoint,Agg,bad bad custom servic contact agent even tho say hour custom servic disappoint
Voice22,word explain bad compani issu router month didnt access data througout time pay monthli couldnt fix issu time dozen complaint option disconnect els continu keep pay month data,Agg,word explain bad compani issu router month didnt access data througout time pay monthli couldnt fix issu time dozen complaint option disconnect els continu keep pay month data
Voice79,sinc busi store entir depend internet given top attent point appropri want connect reconnect right,Agg,sinc busi store entir depend internet given top attent point appropri want connect reconnect right
Voice177,worst custom servic provid agent call contact number agent kott branch given maharagama branch make compliant sinc respons refund request made 21st novemb 2023 today 8th januari 2024 inform made request refund still sort,Agg,worst custom servic provid agent call contact number agent kott branch given maharagama branch make compliant sinc respons refund request made 21st novemb 2023 today 8th januari 2024 inform made request refund still sort
Voice27,worst custom servic respond ever one answer phone email worst worst,Agg,worst custom servic respond ever one answer phone email worst worst
Voice82,servic consist poor constant outag slow speed frustrat consid switch process disconnect servic,Agg,servic consist poor constant outag slow speed frustrat consid switch process disconnect servic
Voice222,servic provid wors govern offic internet break regularli technic team work 9am 5pm issu time 5pm wait whole day get resolv,Agg,servic provid wors govern offic internet break regularli technic team work 9am 5pm issu time 5pm wait whole day get resolv
Voice67,worst servic custom care unit even listen complaint wast time,Agg,worst servic custom care unit even listen complaint wast time
Voice106,worst custom servic hour log complain respons even phone answer slt compani like worth,Agg,worst custom servic hour log complain respons even phone answer slt compani like worth
Voice268,worst custom servic ever encount hotlin number alway work,Agg,worst custom servic ever encount hotlin number alway work
Voice239,got custom care 1212 number call made complaint day ago respons,Agg,got custom care 1212 number call made complaint day ago respons
Voice171,1212 hotlin endless loop frustrat drive crazi,Agg,1212 hotlin endless loop frustrat drive crazi
Voice234,gampha branch offic never pick call person still resolv problem,Agg,gampha branch offic never pick call person still resolv problem
Voice219,last time call agent said technic support sent place within day nobodi guy terribl believ bad servic,Agg,last time call agent said technic support sent place within day nobodi guy terribl believ bad servic
Voice196,need issu solv soon possibl level poor work unforgiv,Agg,need issu solv soon possibl level poor work unforgiv
Voice35,worst servic ever return complain slow internet speed moreov transpar data charg peo connect also worst cabl servic provid ever,Agg,worst servic ever return complain slow internet speed moreov transpar data charg peo connect also worst cabl servic provid ever
Voice211,fix fiber cabl hang electr line voic line mess pathet router cut within today els loos custom,Agg,fix fiber cabl hang electr line voic line mess pathet router cut within today els loos custom
Voice180,pay big big amount servic get servic want fix issu soon,Agg,pay big big amount servic get servic want fix issu soon
Voice118,two number get physic get physic bill anymor prefer get physic bill rather get email peopl updat new technolog,Agg,two number get physic get physic bill anymor prefer get physic bill rather get email peopl updat new technolog
Voice241,loss signal blink red light lo flash red look indoor happen hour ago storm paid yesterday blame better fix quickli,Agg,loss signal blink red light lo flash red look indoor happen hour ago storm paid yesterday blame better fix quickli
Voice207,sick garbag internet useless router light fix patienc incompet,Agg,sick garbag internet useless router light fix patienc incompet
Voice236,poor custom servic sltmobitel ineffect telecommun custom servic ever experienc,Agg,poor custom servic sltmobitel ineffect telecommun custom servic ever experienc
Voice228,agent answer call today took minut provid solut wait line entir durat slt fail servic provid dialog employe would better job guy,Agg,agent answer call today took minut provid solut wait line entir durat slt fail servic provid dialog employe would better job guy
Voice174,call provid number say wrong number updat contact detail,Agg,call provid number say wrong number updat contact detail
Voice91,bad bad custom servic contact agent even tho say hour custom servic disappoint,Agg,bad bad custom servic contact agent even tho say hour custom servic disappoint
Voice209,absolut worst servic encount anywher slt take money give headach,Agg,absolut worst servic encount anywher slt take money give headach
Voice130,guy alway tell complain recored mad complain servic anoth telecomun system check properli,Agg,guy alway tell complain recored mad complain servic anoth telecomun system check properli
Voice187,chang hous mirihana 23rd apr request telecom reconnect phone line kalapura templer road put moment inform take max 2week 6th week noth happen phone wifi children miss onlin lesson etc wrong telecom,Agg,chang hous mirihana 23rd apr request telecom reconnect phone line kalapura templer road put moment inform take max 2week 6th week noth happen phone wifi children miss onlin lesson etc wrong telecom
Voice110,first half time pick phone call cut phone call,Agg,first half time pick phone call cut phone call
Voice102,switch provid valu custom sinc servic accept,Agg,switch provid valu custom sinc servic accept
Voice236,singl day went without issu obtain new fiber connect guy usual call ten hundr time get technic team come fix issu youn take idiot contact call center,Agg,singl day went without issu obtain new fiber connect guy usual call ten hundr time get technic team come fix issu youn take idiot contact call center
Voice209,staff enough provid good servic problem due system issu take long time get even simpl thing done,Agg,staff enough provid good servic problem due system issu take long time get even simpl thing done
Voice169,first half time pick phone call cut phone call,Agg,first half time pick phone call cut phone call
Voice51,yeah pleas tell urgent run busi want solv connect today,Agg,yeah pleas tell urgent run busi want solv connect today
Voice172,want disconnect slt line caus call past day tell internet connect work none attend problem usless slt servic,Agg,want disconnect slt line caus call past day tell internet connect work none attend problem usless slt servic
Voice228,call custom servic 2nd decemb 2020 number mention internet gentleman answer phone rude help clarifi issu bad custom servic,Agg,call custom servic 2nd decemb 2020 number mention internet gentleman answer phone rude help clarifi issu bad custom servic
Voice97,servic agent rude provid solut inquiri,Agg,servic agent rude provid solut inquiri
Voice18,agent talk back beyond unaccept,Agg,agent talk back beyond unaccept
Voice91,promis callback regard complaint lie neglig intoler toler ignor,Agg,promis callback regard complaint lie neglig intoler toler ignor
Voice141,worst experi ever sinc day wifi work realli disappoint said repair go day still action taken frustrat bad servic,Agg,worst experi ever sinc day wifi work realli disappoint said repair go day still action taken frustrat bad servic
Voice154,call guy charg subscript guy suppos flat rate 3000 per month reason seeinng 6400 bill month know what go realli need explan,Agg,call guy charg subscript guy suppos flat rate 3000 per month reason seeinng 6400 bill month know what go realli need explan
Voice76,channel blurri unclear annoy fix soon watch without problem,Agg,channel blurri unclear annoy fix soon watch without problem
Voice195,request get physic bill method mess annoy,Agg,request get physic bill method mess annoy
Voice51,autom fault complain hotlin useless wait least min get contact call center oper even give littl help custom servic absolut useless would recommend anyon,Agg,autom fault complain hotlin useless wait least min get contact call center oper even give littl help custom servic absolut useless would recommend anyon
Voice264,guy alway tell complain recored mad complain servic anoth telecomun system check properli,Agg,guy alway tell complain recored mad complain servic anoth telecomun system check properli
Voice168,one respond appropri take action complaint fault,Agg,one respond appropri take action complaint fault
Voice270,order new connect maradana branch day sinc promis deliveri date work time answer phone call rude unprofession useless custom care servic,Agg,order new connect maradana branch day sinc promis deliveri date work time answer phone call rude unprofession useless custom care servic
Voice267,fed bill chao hard copi bill want lame text messag fix bill mess,Agg,fed bill chao hard copi bill want lame text messag fix bill mess
Voice4,someth soon cancel servic unaccept servic enough enough,Agg,someth soon cancel servic unaccept servic enough enough
Voice220,sinc busi store entir depend internet given top attent point appropri want connect reconnect right,Agg,sinc busi store entir depend internet given top attent point appropri want connect reconnect right
Voice65,today technician came place fix internet problem person dose know talk custom want make complain technician,Agg,today technician came place fix internet problem person dose know talk custom want make complain technician
Voice257,disappoint request fiber connect past year even though locat colombo slt could fulfil request,Agg,disappoint request fiber connect past year even though locat colombo slt could fulfil request
Voice195,disappoint request fiber connect past year even though locat colombo slt could fulfil request,Agg,disappoint request fiber connect past year even though locat colombo slt could fulfil request
Voice235,useless custom servic last day keep tri 1212 number one answer call,Agg,useless custom servic last day keep tri 1212 number one answer call
Voice133,worst servic custom care unit even listen complaint wast time,Agg,worst servic custom care unit even listen complaint wast time
Voice236,got fibr connect slt march soon got fix router lo start blink red made first complain march end sinc everi singl day call slt 24th may even singl technician contact fix issu wors servic call best telecommun compani sri lanka,Agg,got fibr connect slt march soon got fix router lo start blink red made first complain march end sinc everi singl day call slt 24th may even singl technician contact fix issu wors servic call best telecommun compani sri lanka
Voice61,internet kill work demand immedi action fix,Agg,internet kill work demand immedi action fix
Voice9,extrem disappoint servic instal staff excel assur fibr connect internet facil provid hour taken almost hour internet connect restor,Agg,extrem disappoint servic instal staff excel assur fibr connect internet facil provid hour taken almost hour internet connect restor
Voice255,new fibr line connect number paid tri sever time contact agent fail busi suffer due worst servic provid slt,Agg,new fibr line connect number paid tri sever time contact agent fail busi suffer due worst servic provid slt
Voice258,call telcom past two day fix internet connect got disconnect heavi one came fix issu,Agg,call telcom past two day fix internet connect got disconnect heavi one came fix issu
Voice179,disappoint request fiber connect past year even though locat colombo slt could fulfil request,Agg,disappoint request fiber connect past year even though locat colombo slt could fulfil request
Voice195,bad bad custom servic contact agent even tho say hour custom servic disappoint,Agg,bad bad custom servic contact agent even tho say hour custom servic disappoint
Voice205,purpos guy mention contact number one answer phone,Agg,purpos guy mention contact number one answer phone
Voice67,unbeliev phone servic still day lack urgenc appal fix switch provid care,Agg,unbeliev phone servic still day lack urgenc appal fix switch provid care
Voice 57,cant respond issu soon address custom concern quickli take busi elsewher,Agg,cant respond issu soon address custom concern quickli take busi elsewher
Voice174,get realli dissapoint network problem import zoom meet also answer long period use slt connect,Agg,get realli dissapoint network problem import zoom meet also answer long period use slt connect
Voice164,much attitud peopl work goe slt call center,Agg,much attitud peopl work goe slt call center
Voice228,disappoint say servic poor expect pleas note time internet connect bad slow take step ensur consum enjoy flawless internet servic,Agg,disappoint say servic poor expect pleas note time internet connect bad slow take step ensur consum enjoy flawless internet servic
Voice241,call express utter frustrat disappoint qualiti internet servic despit pay servic time experienc yet anoth interrupt wifi connect second time today internet gone happen five time week alon,Agg,call express utter frustrat disappoint qualiti internet servic despit pay servic time experienc yet anoth interrupt wifi connect second time today internet gone happen five time week alon
Voice263,tri contact 1212 last one week isnt place privatis pay bill servic even call complaint made,Agg,tri contact 1212 last one week isnt place privatis pay bill servic even call complaint made
Voice213,custom care good technic support take month suck servic good though,Agg,custom care good technic support take month suck servic good though
Voice150,charg internet peo sudden never agre neither router neither see connect,Agg,charg internet peo sudden never agre neither router neither see connect
Voice179,poor servic peo work week came twice unabl fix phone connect broadband also work sinc day complain time respons yet,Agg,poor servic peo work week came twice unabl fix phone connect broadband also work sinc day complain time respons yet
Voice195,resolut previou complaint unaccept demand satisfactori solut immedi incompet disappoint,Agg,resolut previou complaint unaccept demand satisfactori solut immedi incompet disappoint
Voice242,custom care good technic support take month suck servic good though,Agg,custom care good technic support take month suck servic good though
Voice161,receiv bill line cancel last make sure updat system cancel wont get bill futur,Agg,receiv bill line cancel last make sure updat system cancel wont get bill futur
Voice65,complain done name last week call slt numer time still get anyon fix problem,Agg,complain done name last week call slt numer time still get anyon fix problem
Voice268,worst servic custom care unit even listen complaint wast time,Agg,worst servic custom care unit even listen complaint wast time
Voice93,realli disappoint servic nearli 2month request fiber connect still pend,Agg,realli disappoint servic nearli 2month request fiber connect still pend
Voice144,got custom care 1212 number call made complaint day ago respons,Agg,got custom care 1212 number call made complaint day ago respons
Voice18,poor servic telephon contact technic offic,Agg,poor servic telephon contact technic offic
Voice248,worst custom servic hour log complain respons even phone answer slt compani like worth,Agg,worst custom servic hour log complain respons even phone answer slt compani like worth
Voice257,guy alway tell complain recored mad complain servic anoth telecomun system check properli,Agg,guy alway tell complain recored mad complain servic anoth telecomun system check properli
Voice106,disappoint say servic poor expect pleas note time internet connect bad slow take step ensur consum enjoy flawless internet servic,Agg,disappoint say servic poor expect pleas note time internet connect bad slow take step ensur consum enjoy flawless internet servic
Voice236,repres unprofession agent talk custom polieti,Agg,repres unprofession agent talk custom polieti
Voice48,worst servic ever worst custom care servic never tri resolv problem alway pass ball anoth,Agg,worst servic ever worst custom care servic never tri resolv problem alway pass ball anoth
Voice219,agent answer call today took minut provid solut wait line entir durat slt fail servic provid dialog employe would better job guy,Agg,agent answer call today took minut provid solut wait line entir durat slt fail servic provid dialog employe would better job guy
Voice106,worst custom servic day internet phone call ask supervisor say busi call back final got hold supervisor said leav,Agg,worst custom servic day internet phone call ask supervisor say busi call back final got hold supervisor said leav
Voice174,worst custom servic peopl dont respond complaint tech support file complaint issu last month still fix given respons,Agg,worst custom servic peopl dont respond complaint tech support file complaint issu last month still fix given respons
Voice123,onlin servic 1212 realli dissapoint call answer call hotlin twice today wait onlin close minut call bodi answer call hotlin even onlin messeng servic never answer,Agg,onlin servic 1212 realli dissapoint call answer call hotlin twice today wait onlin close minut call bodi answer call hotlin even onlin messeng servic never answer
Voice115,get realli dissapoint network problem import zoom meet also answer long period use slt connect,Agg,get realli dissapoint network problem import zoom meet also answer long period use slt connect
Voice264,get realli dissapoint network problem import zoom meet also answer long period use slt connect,Agg,get realli dissapoint network problem import zoom meet also answer long period use slt connect
Voice144,bill someth never ask return addit charg money immedi make sure updat system avoid inconveni,Agg,bill someth never ask return addit charg money immedi make sure updat system avoid inconveni
Voice194,tri contact 1212 last one week isnt place privatis pay bill servic even call complaint made,Agg,tri contact 1212 last one week isnt place privatis pay bill servic even call complaint made
voice42,poor servic seek custom money whenev connect internet say internet complain time action taken disgust,Agg,poor servic seek custom money whenev connect internet say internet complain time action taken disgust
Voice239,realli disappoint servic nearli 2month request fiber connect still pend,Agg,realli disappoint servic nearli 2month request fiber connect still pend
Voice184,chang hous mirihana 23rd apr request telecom reconnect phone line kalapura templer road put moment inform take max 2week 6th week noth happen phone wifi children miss onlin lesson etc wrong telecom,Agg,chang hous mirihana 23rd apr request telecom reconnect phone line kalapura templer road put moment inform take max 2week 6th week noth happen phone wifi children miss onlin lesson etc wrong telecom
Voice118,today technician came place fix internet problem person dose know talk custom want make complain technician,Agg,today technician came place fix internet problem person dose know talk custom want make complain technician
Voice241,take forev get done simplest task employe respect duti client time,Agg,take forev get done simplest task employe respect duti client time
Voice133,charg internet peo sudden never agre neither router neither see connect,Agg,charg internet peo sudden never agre neither router neither see connect
Voice147,real problem industri cant get work done easili,Agg,real problem industri cant get work done easili
Voice253,one agent realli rude want complain bloodi agent,Agg,one agent realli rude want complain bloodi agent
Voice211,spoke phone happi one agent behav help team polit pleas custom servic import,Agg,spoke phone happi one agent behav help team polit pleas custom servic import
Voice176,slt use best servic provid telecommun rob peopl unwant subscript fee,Agg,slt use best servic provid telecommun rob peopl unwant subscript fee
Voice257,worst custom servic hour log complain respons even phone answer slt compani like worth,Agg,worst custom servic hour log complain respons even phone answer slt compani like worth
Voice27,new fibr line connect number paid tri sever time contact agent fail busi suffer due worst servic provid slt,Agg,new fibr line connect number paid tri sever time contact agent fail busi suffer due worst servic provid slt
Voice112,promis callback regard complaint lie neglig intoler toler ignor,Agg,promis callback regard complaint lie neglig intoler toler ignor
Voice113,fed unreli servic bill error cancel servic,Agg,fed unreli servic bill error cancel servic
Voice267,worst custom servic ever experienc call time visit time still use time said someon come home fix singl person came call,Agg,worst custom servic ever experienc call time visit time still use time said someon come home fix singl person came call
Voice3,made complaint today get call guy technic issu work home need internet need get done urgent,Agg,made complaint today get call guy technic issu work home need internet need get done urgent
Voice4,call reactiv line request last three day still connect want rais complaint region offic,Agg,call reactiv line request last three day still connect want rais complaint region offic
Voice9,actual made complaint yellow color know cabl goe set box router got damag made complaint report one attend problem travel compani need attend extrem urgent realli dissappoint servic,Agg,actual made complaint yellow color know cabl goe set box router got damag made complaint report one attend problem travel compani need attend extrem urgent realli dissappoint servic
voice13,two number get physic get physic bill anymor prefer get physic bill rather get email peopl updat new technolog,Agg,two number get physic get physic bill anymor prefer get physic bill rather get email peopl updat new technolog
Voice18,sick garbag internet useless router light fix patienc incompet,Agg,sick garbag internet useless router light fix patienc incompet
Voice21,loss signal blink red light lo flash red look indoor happen hour ago storm paid yesterday blame better fix quickli,Agg,loss signal blink red light lo flash red look indoor happen hour ago storm paid yesterday blame better fix quickli
Voice22,hello made complaint regard pictur appear make complain yesterday night,Agg,hello made complaint regard pictur appear make complain yesterday night
Voice27,peopl get delay give respons offic wait wait till minut connect anyway far possibl tri conduct earli possibl realli good everybodi,Agg,peopl get delay give respons offic wait wait till minut connect anyway far possibl tri conduct earli possibl realli good everybodi
Voice28,wifi work without work use mobil data right lot meet attend need internet inform team come soon possibl,Agg,wifi work without work use mobil data right lot meet attend need internet inform team come soon possibl
Voice29,made complain regard fiber connction last week call past three day anyth problem,Agg,made complain regard fiber connction last week call past three day anyth problem
Voice35,fix fiber cabl hang electr line voic line mess pathet router cut within today els loos custom,Agg,fix fiber cabl hang electr line voic line mess pathet router cut within today els loos custom
Voice36,fed bill chao hard copi bill want lame text messag fix bill mess,Agg,fed bill chao hard copi bill want lame text messag fix bill mess
Voice37,want disconnect slt line caus call past day tell internet connect work none attend problem usless slt servic,Agg,want disconnect slt line caus call past day tell internet connect work none attend problem usless slt servic
Voice39,one agent realli rude want complain bloodi agent,Agg,one agent realli rude want complain bloodi agent
voice42,unbeliev phone servic still day lack urgenc appal fix switch provid care,Agg,unbeliev phone servic still day lack urgenc appal fix switch provid care
Voice43,tire excus internet mess support useless,Agg,tire excus internet mess support useless
Voice46,peopl incompet hold forev,Agg,peopl incompet hold forev
Voice48,last time call agent said technic support sent place within day nobodi guy terribl believ bad servic,Agg,last time call agent said technic support sent place within day nobodi guy terribl believ bad servic
Voice51,fed excus phone servic day lack urgenc unaccept fix immedi,Agg,fed excus phone servic day lack urgenc unaccept fix immedi
Voice56,agent good pass around problem get fix tire excus,Agg,agent good pass around problem get fix tire excus
Voice 57,ivr system nightmar maze option never reach real person,Agg,ivr system nightmar maze option never reach real person
Voice60,today technician came place fix internet problem person dose know talk custom want make complain technician,Agg,today technician came place fix internet problem person dose know talk custom want make complain technician
Voice61,ask five day reactiv line respons kandi branch offic unrespons often pick even disconnect call need resolv file complaint,Agg,ask five day reactiv line respons kandi branch offic unrespons often pick even disconnect call need resolv file complaint
Voice 63,line inact day matara offic cooper pick cut call urgent complaint need unaccept busi,Agg,line inact day matara offic cooper pick cut call urgent complaint need unaccept busi
Voice65,internet pain slow make work imposs fix,Agg,internet pain slow make work imposs fix
Voice67,call telcom past two day fix internet connect got disconnect heavi one came fix issu,Agg,call telcom past two day fix internet connect got disconnect heavi one came fix issu
Voice69,patienc run internet outag everi week pay frustrat servic toler longer realli disappoint servic,Agg,patienc run internet outag everi week pay frustrat servic toler longer realli disappoint servic
Voice72,servic consist poor constant outag slow speed frustrat consid switch process disconnect servic,Agg,servic consist poor constant outag slow speed frustrat consid switch process disconnect servic
Voice74,internet kill work demand immedi action fix,Agg,internet kill work demand immedi action fix
Voice76,internet crippl work immedi action level servic unaccept toler longer,Agg,internet crippl work immedi action level servic unaccept toler longer
Voice79,made router payment last week credit error fault mine fix soon possibl face consequ toler incompet reconnect line,Agg,made router payment last week credit error fault mine fix soon possibl face consequ toler incompet reconnect line
Voice81,got red light router complan slt action toler delay get act togeth restor servic immedi unaccept demand urgent resolut,Agg,got red light router complan slt action toler delay get act togeth restor servic immedi unaccept demand urgent resolut
Voice82,request data plan chang agent mishandl frustrat ensur staff process request accur,Agg,request data plan chang agent mishandl frustrat ensur staff process request accur
Voice85,internet broken person talk could help frustrat need better peopl lose custom fix internet find someon disconnect slt servic,Agg,internet broken person talk could help frustrat need better peopl lose custom fix internet find someon disconnect slt servic
Voice86,channel blurri unclear annoy fix soon watch without problem,Agg,channel blurri unclear annoy fix soon watch without problem
Voice89,resolut previou complaint unaccept demand satisfactori solut immedi incompet disappoint,Agg,resolut previou complaint unaccept demand satisfactori solut immedi incompet disappoint
Voice91,custom servic agent unbeliev rude utterli unhelp demand immedi explan resolut outrag behavior toler disrespect,Agg,custom servic agent unbeliev rude utterli unhelp demand immedi explan resolut outrag behavior toler disrespect
Voice92,call drop repeatedli convers agent annoy fix lousi servic immedi,Agg,call drop repeatedli convers agent annoy fix lousi servic immedi
Voice93,agent fail provid time respons problem could better servic,Agg,agent fail provid time respons problem could better servic
Voice94,promis callback regard complaint lie neglig intoler toler ignor,Agg,promis callback regard complaint lie neglig intoler toler ignor
Voice96,receiv bill line cancel last make sure updat system cancel wont get bill futur,Agg,receiv bill line cancel last make sure updat system cancel wont get bill futur
Voice97,bill someth never ask return addit charg money immedi make sure updat system avoid inconveni,Agg,bill someth never ask return addit charg money immedi make sure updat system avoid inconveni
Voice100,agent answer call today took minut provid solut wait line entir durat slt fail servic provid dialog employe would better job guy,Agg,agent answer call today took minut provid solut wait line entir durat slt fail servic provid dialog employe would better job guy
Voice102,bullshit talk paid yesterday say payment,Agg,bullshit talk paid yesterday say payment
Voice103,agent provid clear instruct submit requir document get new fiber assign person know process need connect urgent,Agg,agent provid clear instruct submit requir document get new fiber assign person know process need connect urgent
Voice106,repres unprofession agent talk custom polieti,Agg,repres unprofession agent talk custom polieti
Voice107,spoke phone happi one agent behav help team polit pleas custom servic import,Agg,spoke phone happi one agent behav help team polit pleas custom servic import
Voice109,call guy charg subscript guy suppos flat rate 3000 per month reason seeinng 6400 bill month know what go realli need explan,Agg,call guy charg subscript guy suppos flat rate 3000 per month reason seeinng 6400 bill month know what go realli need explan
Voice110,yeah pleas tell urgent run busi want solv connect today,Agg,yeah pleas tell urgent run busi want solv connect today
Voice112,fed unreli servic bill error cancel servic,Agg,fed unreli servic bill error cancel servic
Voice113,complain done name last week call slt numer time still get anyon fix problem,Agg,complain done name last week call slt numer time still get anyon fix problem
Voice115,hard time reach depart use given contact answer phone call take hope understand import reachabl,Agg,hard time reach depart use given contact answer phone call take hope understand import reachabl
Voice118,promis callback complaint never happen realli stupid need take action matter right away,Agg,promis callback complaint never happen realli stupid need take action matter right away
Voice122,want make complain kiribathgoda workshop realli upset disrespect action kiribathgoda workshop know handl custom respect,Agg,want make complain kiribathgoda workshop realli upset disrespect action kiribathgoda workshop know handl custom respect
Voice123,made payment myslt app shockingli confirm account still show outstand happen twice cant updat system properli,Agg,made payment myslt app shockingli confirm account still show outstand happen twice cant updat system properli
Voice124,believ put hold hour want give could caus want solut sometim agent answer phone,Agg,believ put hold hour want give could caus want solut sometim agent answer phone
Voice125,call center agent take age answer phone call stay line think jobless peopl like guy,Agg,call center agent take age answer phone call stay line think jobless peopl like guy
Voice128,first half time pick phone call cut phone call,Agg,first half time pick phone call cut phone call
Voice130,guy alway tell complain recored mad complain servic anoth telecomun system check properli,Agg,guy alway tell complain recored mad complain servic anoth telecomun system check properli
Voice133,call center agent provid unclear inform data agent properli,Agg,call center agent provid unclear inform data agent properli
Voice135,servic worst servic ever got,Agg,servic worst servic ever got
Voice136,sinc busi store entir depend internet given top attent point appropri want connect reconnect right,Agg,sinc busi store entir depend internet given top attent point appropri want connect reconnect right
Voice137,made complaint last day still one attend resolv pleas get done soon expect better servic,Agg,made complaint last day still one attend resolv pleas get done soon expect better servic
Voice138,someth soon cancel servic unaccept servic enough enough,Agg,someth soon cancel servic unaccept servic enough enough
Voice140,mean updat call last three day updat kid,Agg,mean updat call last three day updat kid
Voice141,1212 hotlin take age answer got work cant hold phone forev,Agg,1212 hotlin take age answer got work cant hold phone forev
Voice143,real problem industri cant get work done easili,Agg,real problem industri cant get work done easili
Voice144,long take fix need sloution soon possibl,Agg,long take fix need sloution soon possibl
Voice146,pay big big amount servic get servic want fix issu soon,Agg,pay big big amount servic get servic want fix issu soon
Voice147,switch provid valu custom sinc servic accept,Agg,switch provid valu custom sinc servic accept
Voice148,agent unabl guid process updat person inform,Agg,agent unabl guid process updat person inform
Voice150,request get physic bill method mess annoy,Agg,request get physic bill method mess annoy
Voice151,custom servic agent rude unhelp,Agg,custom servic agent rude unhelp
Voice152,get someon know find differ servic terribl servic put,Agg,get someon know find differ servic terribl servic put
Voice153,agent talk back beyond unaccept,Agg,agent talk back beyond unaccept
Voice154,need issu solv soon possibl level poor work unforgiv,Agg,need issu solv soon possibl level poor work unforgiv
Voice156,1212 hotlin endless loop frustrat drive crazi,Agg,1212 hotlin endless loop frustrat drive crazi
Voice158,start right away lose client enough interrupt,Agg,start right away lose client enough interrupt
Voice161,cant respond issu soon address custom concern quickli take busi elsewher,Agg,cant respond issu soon address custom concern quickli take busi elsewher
Voice164,tell technic peopl come check els chang new router whatev want get back,Agg,tell technic peopl come check els chang new router whatev want get back
Voice166,worst telephon servic whole world call landlin get aw sri lankan music play wast time money caller pleas sell useless compani india shut shop,Agg,worst telephon servic whole world call landlin get aw sri lankan music play wast time money caller pleas sell useless compani india shut shop
Voice167,word explain bad compani issu router month didnt access data througout time pay monthli couldnt fix issu time dozen complaint option disconnect els continu keep pay month data,Agg,word explain bad compani issu router month didnt access data througout time pay monthli couldnt fix issu time dozen complaint option disconnect els continu keep pay month data
Voice168,disappoint request fiber connect past year even though locat colombo slt could fulfil request,Agg,disappoint request fiber connect past year even though locat colombo slt could fulfil request
Voice169,much attitud peopl work goe slt call center,Agg,much attitud peopl work goe slt call center
Voice170,servic provid wors govern offic internet break regularli technic team work 9am 5pm issu time 5pm wait whole day get resolv,Agg,servic provid wors govern offic internet break regularli technic team work 9am 5pm issu time 5pm wait whole day get resolv
Voice171,autom fault complain hotlin useless wait least min get contact call center oper even give littl help custom servic absolut useless would recommend anyon,Agg,autom fault complain hotlin useless wait least min get contact call center oper even give littl help custom servic absolut useless would recommend anyon
Voice172,experienc poor custom servic first time slt week report router fault custom care technician call didnt turn complaint close resolv issu,Agg,experienc poor custom servic first time slt week report router fault custom care technician call didnt turn complaint close resolv issu
Voice174,purpos guy mention contact number one answer phone,Agg,purpos guy mention contact number one answer phone
Voice175,worst custom servic ever encount hotlin number alway work,Agg,worst custom servic ever encount hotlin number alway work
Voice176,poor slow websit work much patient want pay bill onlin alway ask tri disrecommend tri get newer connect slt,Agg,poor slow websit work much patient want pay bill onlin alway ask tri disrecommend tri get newer connect slt
Voice177,get realli dissapoint network problem import zoom meet also answer long period use slt connect,Agg,get realli dissapoint network problem import zoom meet also answer long period use slt connect
Voice179,connect stabl sent email call slt time inform situat custom servic repres alway keep record alway said ticket priorit list noth happen,Agg,connect stabl sent email call slt time inform situat custom servic repres alway keep record alway said ticket priorit list noth happen
Voice180,got fibr connect slt march soon got fix router lo start blink red made first complain march end sinc everi singl day call slt 24th may even singl technician contact fix issu wors servic call best telecommun compani sri lanka,Agg,got fibr connect slt march soon got fix router lo start blink red made first complain march end sinc everi singl day call slt 24th may even singl technician contact fix issu wors servic call best telecommun compani sri lanka
Voice181,singl day went without issu obtain new fiber connect guy usual call ten hundr time get technic team come fix issu youn take idiot contact call center,Agg,singl day went without issu obtain new fiber connect guy usual call ten hundr time get technic team come fix issu youn take idiot contact call center
Voice182,worst custom servic hour log complain respons even phone answer slt compani like worth,Agg,worst custom servic hour log complain respons even phone answer slt compani like worth
Voice183,bad bad custom servic contact agent even tho say hour custom servic disappoint,Agg,bad bad custom servic contact agent even tho say hour custom servic disappoint
Voice184,poor servic peo work week came twice unabl fix phone connect broadband also work sinc day complain time respons yet,Agg,poor servic peo work week came twice unabl fix phone connect broadband also work sinc day complain time respons yet
Voice185,worst custom servic ever doesnt respond complaint tech support file complaint issu last month still fix given respons,Agg,worst custom servic ever doesnt respond complaint tech support file complaint issu last month still fix given respons
